excluded_unit,year,synthetic,att
江苏,2010,2.4830000000437,-0.0836666667060902
江苏,2011,2.4150000000435776,-0.0836666667060902
江苏,2012,2.54200000004275,-0.0836666667060902
江苏,2013,2.422000000042641,-0.0836666667060902
江苏,2014,2.387000000042043,-0.0836666667060902
江苏,2015,2.3480000000413876,-0.0836666667060902
江苏,2016,2.280000000041401,-0.0836666667060902
江苏,2017,2.363000000041287,-0.0836666667060902
江苏,2018,2.283000000040915,-0.0836666667060902
江苏,2019,2.191000000040521,-0.0836666667060902
江苏,2020,2.34000000003971,-0.0836666667060902
江苏,2021,2.166000000039658,-0.0836666667060902
江苏,2022,2.1890000000397403,-0.0836666667060902
江苏,2023,2.1510000000388723,-0.0836666667060902
广东,2010,2.4827082364525244,-0.12396047155096317
广东,2011,2.430983210058593,-0.12396047155096317
广东,2012,2.468659767609731,-0.12396047155096317
广东,2013,2.452392713729009,-0.12396047155096317
广东,2014,2.3959990495092853,-0.12396047155096317
广东,2015,2.3375084476039754,-0.12396047155096317
广东,2016,2.4094115099183884,-0.12396047155096317
广东,2017,2.2704708552252155,-0.12396047155096317
广东,2018,2.316314572232801,-0.12396047155096317
广东,2019,2.264125659848286,-0.12396047155096317
广东,2020,2.219686483524457,-0.12396047155096317
广东,2021,2.2144115099183885,-0.12396047155096317
广东,2022,2.2437161561778707,-0.12396047155096317
广东,2023,2.16875374855663,-0.12396047155096317
海南,2010,2.4851316937135746,-0.10409122903100965
海南,2011,2.427220450001666,-0.10409122903100965
海南,2012,2.5068359060196723,-0.10409122903100965
海南,2013,2.432933286693191,-0.10409122903100965
海南,2014,2.3906171005703514,-0.10409122903100965
海南,2015,2.3439758370847965,-0.10409122903100965
海南,2016,2.333435477033669,-0.10409122903100965
海南,2017,2.3134391590341443,-0.10409122903100965
海南,2018,2.2965493770694514,-0.10409122903100965
海南,2019,2.231385699484601,-0.10409122903100965
海南,2020,2.28006373545284,-0.10409122903100965
海南,2021,2.194680834656684,-0.10409122903100965
海南,2022,2.2157100027795655,-0.10409122903100965
海南,2023,2.156882849656779,-0.10409122903100965
